DATE,DTB4WK
2001-08-01,3.4834782608695652
2001-09-01,2.6311764705882353
2001-10-01,2.2377272727272727
2001-11-01,1.9645000000000000
2001-12-01,1.6885000000000000
2002-01-01,1.6461904761904762
2002-02-01,1.7036842105263158
2002-03-01,1.7500000000000000
2002-04-01,1.6922727272727273
2002-05-01,1.7081818181818182
2002-06-01,1.6830000000000000
2002-07-01,1.6881818181818182
2002-08-01,1.6559090909090909
2002-09-01,1.6495000000000000
2002-10-01,1.5972727272727273
2002-11-01,1.2436842105263158
2002-12-01,1.1771428571428571
2003-01-01,1.1504761904761905
2003-02-01,1.1752631578947368
2003-03-01,1.1566666666666667
2003-04-01,1.1380952380952381
2003-05-01,1.0623809523809524
2003-06-01,0.95809523809523809524
2003-07-01,0.87681818181818181818
2003-08-01,0.92761904761904761905
2003-09-01,0.89380952380952380952
2003-10-01,0.88954545454545454545
2003-11-01,0.92388888888888888889
2003-12-01,0.87227272727272727273
2004-01-01,0.82850000000000000000
2004-02-01,0.89947368421052631579
2004-03-01,0.94565217391304347826
2004-04-01,0.89238095238095238095
2004-05-01,0.88600000000000000000
2004-06-01,1.02380952380952380952
2004-07-01,1.1647619047619048
2004-08-01,1.3450000000000000
2004-09-01,1.5209523809523810
2004-10-01,1.5960000000000000
2004-11-01,1.8800000000000000
2004-12-01,1.9159090909090909
2005-01-01,1.9925000000000000
2005-02-01,2.3178947368421053
2005-03-01,2.5977272727272727
2005-04-01,2.5914285714285714
2005-05-01,2.5919047619047619
2005-06-01,2.7768181818181818
2005-07-01,3.0360000000000000
2005-08-01,3.2808695652173913
2005-09-01,3.1614285714285714
2005-10-01,3.4370000000000000
2005-11-01,3.8425000000000000
2005-12-01,3.6066666666666667
2006-01-01,4.0280000000000000
2006-02-01,4.3073684210526316
2006-03-01,4.4682608695652174
2006-04-01,4.5231578947368421
2006-05-01,4.6127272727272727
2006-06-01,4.6218181818181818
2006-07-01,4.8035000000000000
2006-08-01,5.0773913043478261
2006-09-01,4.6790000000000000
2006-10-01,4.8804761904761905
2006-11-01,5.1304761904761905
2006-12-01,4.7795000000000000
2007-01-01,4.8390476190476190
2007-02-01,5.0910526315789474
2007-03-01,5.1145454545454545
2007-04-01,4.8909523809523810
2007-05-01,4.7209090909090909
2007-06-01,4.4247619047619048
2007-07-01,4.7076190476190476
2007-08-01,4.1073913043478261
2007-09-01,3.7015789473684211
2007-10-01,3.7227272727272727
2007-11-01,3.6340000000000000
2007-12-01,2.7880000000000000
2008-01-01,2.6819047619047619
2008-02-01,2.2330000000000000
2008-03-01,1.3355000000000000
2008-04-01,1.04454545454545454545
2008-05-01,1.7323809523809524
2008-06-01,1.6904761904761905
2008-07-01,1.5777272727272727
2008-08-01,1.6500000000000000
2008-09-01,0.85857142857142857143
2008-10-01,0.26363636363636363636
2008-11-01,0.09055555555555555556
2008-12-01,0.02909090909090909091
2009-01-01,0.04800000000000000000
2009-02-01,0.21736842105263157895
2009-03-01,0.09636363636363636364
2009-04-01,0.09476190476190476190
2009-05-01,0.13550000000000000000
2009-06-01,0.09500000000000000000
2009-07-01,0.14636363636363636364
2009-08-01,0.12142857142857142857
2009-09-01,0.05952380952380952381
2009-10-01,0.04000000000000000000
2009-11-01,0.05263157894736842105
2009-12-01,0.03136363636363636364
2010-01-01,0.02263157894736842105
2010-02-01,0.05684210526315789474
2010-03-01,0.11478260869565217391
2010-04-01,0.15045454545454545455
2010-05-01,0.14700000000000000000
2010-06-01,0.07818181818181818182
2010-07-01,0.15666666666666666667
2010-08-01,0.15409090909090909091
2010-09-01,0.11523809523809523810
2010-10-01,0.14050000000000000000
2010-11-01,0.13400000000000000000
2010-12-01,0.08454545454545454545
2011-01-01,0.14050000000000000000
2011-02-01,0.11473684210526315789
2011-03-01,0.06434782608695652174
2011-04-01,0.02950000000000000000
2011-05-01,0.02428571428571428571
2011-06-01,0.01909090909090909091
2011-07-01,0.03800000000000000000
2011-08-01,0.01782608695652173913
2011-09-01,0.00428571428571428571
2011-10-01,0.01350000000000000000
2011-11-01,0.01400000000000000000
2011-12-01,0.00095238095238095238
2012-01-01,0.02450000000000000000
2012-02-01,0.06200000000000000000
2012-03-01,0.06363636363636363636
2012-04-01,0.06666666666666666667
2012-05-01,0.06590909090909090909
2012-06-01,0.05047619047619047619
2012-07-01,0.06809523809523809524
2012-08-01,0.09130434782608695652
2012-09-01,0.07421052631578947368
2012-10-01,0.10952380952380952381
2012-11-01,0.12500000000000000000
2012-12-01,0.03900000000000000000
2013-01-01,0.05142857142857142857
2013-02-01,0.07684210526315789474
2013-03-01,0.07750000000000000000
2013-04-01,0.04909090909090909091
2013-05-01,0.02045454545454545455
2013-06-01,0.03450000000000000000
2013-07-01,0.02090909090909090909
2013-08-01,0.03681818181818181818
2013-09-01,0.01750000000000000000
2013-10-01,0.11045454545454545455
2013-11-01,0.04578947368421052632
2013-12-01,0.01714285714285714286
2014-01-01,0.01666666666666666667
2014-02-01,0.04684210526315789474
2014-03-01,0.05142857142857142857
2014-04-01,0.02333333333333333333
2014-05-01,0.02666666666666666667
2014-06-01,0.02428571428571428571
2014-07-01,0.02409090909090909091
2014-08-01,0.03000000000000000000
2014-09-01,0.01142857142857142857
2014-10-01,0.02090909090909090909
2014-11-01,0.04166666666666666667
2014-12-01,0.02500000000000000000
2015-01-01,0.01800000000000000000
2015-02-01,0.01789473684210526316
2015-03-01,0.02272727272727272727
2015-04-01,0.01590909090909090909
2015-05-01,0.01300000000000000000
2015-06-01,0.00409090909090909091
2015-07-01,0.03000000000000000000
