DATE,WTB4WK
2001-08-01,3.4940000000000000
2001-09-01,2.6900000000000000
2001-10-01,2.2525000000000000
2001-11-01,1.9900000000000000
2001-12-01,1.6900000000000000
2002-01-01,1.6450000000000000
2002-02-01,1.6925000000000000
2002-03-01,1.7480000000000000
2002-04-01,1.6875000000000000
2002-05-01,1.7060000000000000
2002-06-01,1.6825000000000000
2002-07-01,1.6850000000000000
2002-08-01,1.6620000000000000
2002-09-01,1.6525000000000000
2002-10-01,1.6100000000000000
2002-11-01,1.2880000000000000
2002-12-01,1.17750000000000000000
2003-01-01,1.15000000000000000000
2003-02-01,1.17250000000000000000
2003-03-01,1.15750000000000000000
2003-04-01,1.14250000000000000000
2003-05-01,1.07400000000000000000
2003-06-01,0.96750000000000000000
2003-07-01,0.86000000000000000000
2003-08-01,0.93000000000000000000
2003-09-01,0.90250000000000000000
2003-10-01,0.88800000000000000000
2003-11-01,0.92500000000000000000
2003-12-01,0.87500000000000000000
2004-01-01,0.82800000000000000000
2004-02-01,0.90000000000000000000
2004-03-01,0.94500000000000000000
2004-04-01,0.90200000000000000000
2004-05-01,0.88750000000000000000
2004-06-01,1.00000000000000000000
2004-07-01,1.16000000000000000000
2004-08-01,1.3375000000000000
2004-09-01,1.5100000000000000
2004-10-01,1.5820000000000000
2004-11-01,1.8675000000000000
2004-12-01,1.9220000000000000
2005-01-01,1.9875000000000000
2005-02-01,2.3025000000000000
2005-03-01,2.5875000000000000
2005-04-01,2.5960000000000000
2005-05-01,2.5850000000000000
2005-06-01,2.7525000000000000
2005-07-01,3.0080000000000000
2005-08-01,3.2700000000000000
2005-09-01,3.1880000000000000
2005-10-01,3.4225000000000000
2005-11-01,3.8275000000000000
2005-12-01,3.6420000000000000
2006-01-01,4.0050000000000000
2006-02-01,4.2925000000000000
2006-03-01,4.4620000000000000
2006-04-01,4.5250000000000000
2006-05-01,4.6050000000000000
2006-06-01,4.6260000000000000
2006-07-01,4.7900000000000000
2006-08-01,5.0700000000000000
2006-09-01,4.7480000000000000
2006-10-01,4.8575000000000000
2006-11-01,5.1200000000000000
2006-12-01,4.8360000000000000
2007-01-01,4.8300000000000000
2007-02-01,5.0575000000000000
2007-03-01,5.1180000000000000
2007-04-01,4.9000000000000000
2007-05-01,4.7100000000000000
2007-06-01,4.4840000000000000
2007-07-01,4.6800000000000000
2007-08-01,4.1740000000000000
2007-09-01,3.7300000000000000
2007-10-01,3.7000000000000000
2007-11-01,3.6720000000000000
2007-12-01,2.7950000000000000
2008-01-01,2.8200000000000000
2008-02-01,2.1860000000000000
2008-03-01,1.3075000000000000
2008-04-01,1.04750000000000000000
2008-05-01,1.6680000000000000
2008-06-01,1.6975000000000000
2008-07-01,1.5775000000000000
2008-08-01,1.6460000000000000
2008-09-01,0.92500000000000000000
2008-10-01,0.27800000000000000000
2008-11-01,0.08750000000000000000
2008-12-01,0.02000000000000000000
2009-01-01,0.05400000000000000000
2009-02-01,0.21750000000000000000
2009-03-01,0.09500000000000000000
2009-04-01,0.10750000000000000000
2009-05-01,0.12400000000000000000
2009-06-01,0.09250000000000000000
2009-07-01,0.14400000000000000000
2009-08-01,0.12250000000000000000
2009-09-01,0.06500000000000000000
2009-10-01,0.04000000000000000000
2009-11-01,0.05250000000000000000
2009-12-01,0.03500000000000000000
2010-01-01,0.02600000000000000000
2010-02-01,0.05750000000000000000
2010-03-01,0.11250000000000000000
2010-04-01,0.14600000000000000000
2010-05-01,0.14750000000000000000
2010-06-01,0.07750000000000000000
2010-07-01,0.15200000000000000000
2010-08-01,0.15750000000000000000
2010-09-01,0.12250000000000000000
2010-10-01,0.13400000000000000000
2010-11-01,0.13250000000000000000
2010-12-01,0.09200000000000000000
2011-01-01,0.14000000000000000000
2011-02-01,0.11750000000000000000
2011-03-01,0.07000000000000000000
2011-04-01,0.03200000000000000000
2011-05-01,0.02500000000000000000
2011-06-01,0.02250000000000000000
2011-07-01,0.03200000000000000000
2011-08-01,0.02000000000000000000
2011-09-01,0.00400000000000000000
2011-10-01,0.01500000000000000000
2011-11-01,0.01250000000000000000
2011-12-01,0.00400000000000000000
2012-01-01,0.02000000000000000000
2012-02-01,0.05500000000000000000
2012-03-01,0.06600000000000000000
2012-04-01,0.06750000000000000000
2012-05-01,0.06750000000000000000
2012-06-01,0.04800000000000000000
2012-07-01,0.07000000000000000000
2012-08-01,0.08800000000000000000
2012-09-01,0.07500000000000000000
2012-10-01,0.11250000000000000000
2012-11-01,0.12400000000000000000
2012-12-01,0.03750000000000000000
2013-01-01,0.05250000000000000000
2013-02-01,0.06500000000000000000
2013-03-01,0.08200000000000000000
2013-04-01,0.05000000000000000000
2013-05-01,0.02200000000000000000
2013-06-01,0.03500000000000000000
2013-07-01,0.02250000000000000000
2013-08-01,0.03400000000000000000
2013-09-01,0.01750000000000000000
2013-10-01,0.12000000000000000000
2013-11-01,0.04600000000000000000
2013-12-01,0.01750000000000000000
2014-01-01,0.01800000000000000000
2014-02-01,0.04750000000000000000
2014-03-01,0.05250000000000000000
2014-04-01,0.02500000000000000000
2014-05-01,0.02400000000000000000
2014-06-01,0.02250000000000000000
2014-07-01,0.02250000000000000000
2014-08-01,0.02800000000000000000
2014-09-01,0.01250000000000000000
2014-10-01,0.02200000000000000000
2014-11-01,0.04500000000000000000
2014-12-01,0.02500000000000000000
2015-01-01,0.02000000000000000000
2015-02-01,0.01750000000000000000
2015-03-01,0.02250000000000000000
2015-04-01,0.02250000000000000000
2015-05-01,0.00800000000000000000
2015-06-01,0.00500000000000000000
